message,tweet_id
"""Climate change is no longer some far-off problem; it is happening here; it is happening now.""
#climatechange… https://t.co/c9ejx7AbEd",1515704272532303872
@PierrePoilievre Literal tenant here. He promises a new era to/for the underclass. He's against carbon pricing [… https://t.co/BSlLxjM3Oc,1515704154202771463
"World Heritage and Tourism in a Changing Climate, a substantial number of #WorldHeritage sites in the Arab World ha… https://t.co/8YqoQlJgAc",1515703846525415437
Grateful our vulnerable #Indigenous communities will have an avenue to combat the devastating effects of… https://t.co/MItMBXvph7,1515703304566751238
"Doug Ford rushes to start Bradford Bypass ahead of June election without costing or proper studies

#Environment… https://t.co/I1A5NVktMW",1515703125830774790
"@TwoThirdsGoat is a mood today. Take a listen.
Remember, Mountaintop Removal isn’t over.
#StopMTR #cleanwater… https://t.co/suOodB2dmn",1515703110819266565
'No one's married to #coal': How Forrest is taking on the world to save the climate: Sydney Morning Herald… https://t.co/bWo9uuP2xT,1515703024357986314
Goodyear to develop a domestic source of natural rubber from a species of dandelion. https://t.co/O4XE30wHAU… https://t.co/ifUG4QtFM3,1515702906078601216
"Fraud, climate change and 'pig butchering' #CryptoCurrency #climatechange via https://t.co/S8eGVDnMF7 https://t.co/9aY5N4WKnN",1515702231714217994
"Mispricing underscores the physical effect of climate change. Besides worrying about pricing, the leaders are burde… https://t.co/XbHSxDqLjd",1515702166656516097
In this time of #ClimateCrisis when India is one of the most vulnerable nations to impacts of global warming… https://t.co/T8dBlRqLbL,1515702035366440971
"Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/XK3ZReQKWN

#WeMeanToClean… https://t.co/bMGUHd4mNI",1515701453125558278
"@TwoThirdsGoat is a mood today.
Have a listen.
Remember, Mountaintop Removal isn’t over. 
#stopMTR… https://t.co/Se3fnHAGKY",1515701302097063938
Nearly 13 million lives are lost every year worldwide due to environmental causes that are avoidable.… https://t.co/VKIcghOmmz,1515701093472292865
@DougAlder Bruh you got #ClimateChange on your Bio you have no room to say anything when it comes to real-world pro… https://t.co/YAo508Q3cQ,1515701039693021184
"#EarthDay is celebrated every year on 22 April. 🌎 

With #climatechange being a major focus for us in the… https://t.co/D69QIPAt1f",1515700602134798340
12 practical ways to urgently reduce car use in cities by @KA_Nicholas and Paula Kuss. #ClimateAction… https://t.co/LFnA7615UV,1515700154631868419
"#Surat #SmartCity #SuratMunicipalCorporation  
#Climatechange 

Surat needs to prepare for coming climate change ef… https://t.co/719HxiIPFC",1515700038546206721
"2.5°C average increase in temperature since 1975 (approx.)

#ClimateData from #SatuMare, #Romania. Follow me for da… https://t.co/sQNKXPPO0f",1515699854571364364
"#ICYMI: #Solar Protocol, a system of #solarpowered servers, is an opportunity for artists to foreground… https://t.co/THszVv4u7O",1515699615147995137
"India must step up efforts to reduce and adapt to climate change, while continuing to push rich countries to do the… https://t.co/vBNGRlVJpq",1515699470717296643
@_GlobalCrisis_ Scary. We need to unite and build Creative Society to survive in an era of climate catastrophe… https://t.co/9cIFfTGyp5,1515699426228121606
"Think Piece -  It’s after the end of the world, don’t you know that yet? —Sun Ra, 1970

#climatechange #historic… https://t.co/WKcq1z5nlI",1515699398348611587
"As @NameisNani participated in the #GreenIndiaChallenge we'd like to thank him by presenting the ""Vanamali Badge of… https://t.co/QpdGZADFcx",1515699318241775619
🌍Climate-induced migration is a risk multiplier for modern slavery. The more people that migrate due to… https://t.co/GV1LSeF64e,1515699101706375169
"In @Danone we want to make operate our business in the most responsible way possible, and thus committed to preserv… https://t.co/OtyfOBkdR5",1515698657777295362
What Books Should You Have In Your Survival Library #books https://t.co/nyHTPVdQKr via @SlideShare #library… https://t.co/nFsg39g1yx,1515697552699633669
"#ClimateChange is the change from a pacefull planet to a hell mess 🔥🔥
We don’t understand the size of change which… https://t.co/HHvYBw61ry",1515697490078670850
"#ptpa #ctto #naturenow #climatechange 

""Everything counts, what you do matters for natural climate solutions.""

Wa… https://t.co/qRCY2ZpRSQ",1515696690640023555
"Recent climate &amp; temperature ""surprises"" in Antarctica were predicted by this 2015 article by Paul Mayewski et al.… https://t.co/IAAuMbblnO",1515695213045497857
#nature #environment #climatechange #Save Water #TeamGREEN https://t.co/Htntvp4IUJ,1515695097387810816
How are US special interests undermining climate action? | TV Shows #ClimateAction #Green #EcoFriendly… https://t.co/FNxpLtxZoI,1515695088386514945
It is surprising that US govt wants to be the chief supplier of gas to Europe yet they keep talking about… https://t.co/Vfih6qTNas,1515694119112392705
"@simonahac @timothycjames Tim, 

Are there too many #Independent women? Where is the #LNP divide &amp; conquer?

&amp; The… https://t.co/3JDyxZyrnB",1515693889004392452
"Setembre dry and hot
#ClimateChange is here https://t.co/IarSQsWDko #GlobalWarming #ClimateAction #ClimateCrisis 
G… https://t.co/Ddpwlcqwe4",1515693575257923596
#EarthMonth Join us and help us deliver our #climateaction letters signed by constituents to @SenatorSinema on Frid… https://t.co/97begv9qaM,1515693562775711745
Suing over #CLIMATE change: Taking fossil fuel companies to court https://t.co/7jinT8ijh0  #GlobalWarming #climatechange,1515693508589465602
Suing over #CLIMATE change: Taking fossil fuel companies to court https://t.co/IrEq4HoXGf #GPWX #GlobalWarming #climatechange,1515693431301054469
Join us on April 21st for a discussion on Climate Finance &amp; the Commonwealth: Challenges &amp; Options with the Ramphal… https://t.co/60HtCiqKKw,1515691834026209287
"In a recent @SOActuaries podcast, @peter_sousounis, VP &amp; Director of Climate Change Research, @Verisk, discussed th… https://t.co/DpWpe5U9S5",1515691811817332740
We can stop the worst of #ClimateChange but we must take #ClimateAction now! We can't continue to ignore the issue… https://t.co/ZeKcL83fBU,1515691801591513089
"Oceans drive #ClimateChange
Water is the mineral that stores the most heat and travels around the world equalizing… https://t.co/qibE3b5ptp",1515691304524656643
"@Earthjustice Yes! To stop #climatechange…
1—Maximum #energyefficiency, all sectors, saving ~1/2 of current energy.… https://t.co/Q9hfhz75Cb",1515691043693350919
Sun Sets on Mexico’s Paradise Beaches as Climate Crisis Hits Home https://t.co/RJPoYOk49a #PuertoVallarta… https://t.co/zkMKFZtAm2,1515691029919322117
"[NOW] Learn about #HasdeoArand through 6 'Cs' in this #twitterspace 

#Constitution #Conservation #ClimateChange… https://t.co/rd1ZYeFhdM",1515690769201307648
"[NOW] Learn about #HasdeoArand through 6 'Cs' in this #twitterspace 

#Constitution #Conservation #ClimateChange… https://t.co/IksUKTInys",1515690718613880832
"This 20 seconds, is all you need as INDISPUTABLE EVIDENCE that voting for Pauline Hanson makes you an idiot.… https://t.co/Sh0VbdvCPv",1515690670417096710
"[NOW] Learn about #HasdeoArand through 6 'Cs' in this #twitterspace 

#Constitution #Conservation #ClimateChange… https://t.co/z3q7hIYSW7",1515690647751053313
"[NOW] Learn about #HasdeoArand through 6 'Cs' in this #twitterspace 

#Constitution #Conservation #ClimateChange… https://t.co/VmUH1a23Xd",1515690590289031169
"The #Paris #climate deal never was realistic target 🌡🌍
It was just to save appearances https://t.co/SGt9gu2ivR… https://t.co/c9eXjgRYDN",1515690527424974851
"""Manchin, who profits from his family’s West Virginia coal company, received more campaign donations from the oil,… https://t.co/iOgjO2tZWs",1515690517845221376
"High Gas Prices WON'T Stop #ClimateChange 

https://t.co/8ixcGcgotY

@Trumpgot2go @princepapa1 @valeriesmith344… https://t.co/BGmtv5VDwv",1515690265234878467
#CLIMATE change lawsuits: Taking fossil fuel firms to court https://t.co/pw785tjnIc  #GlobalWarming #climatechange,1515689765382799370
#CLIMATE change lawsuits: Taking fossil fuel firms to court https://t.co/nuIOMOUwgB #GPWX #GlobalWarming #climatechange,1515689689931522051
"These five women are photographing 📷 the effects of #ClimateChange around the world.  

Check out their projects vi… https://t.co/1ppFoMp1W2",1515689035842396165
